"Comment","Designator","Footprint","LCSC Part #"
"100nF","C2,C4,C1,C8","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"220uF","C3","CP_Elec_6.3x7.7","C127327"
"22uF","C5,C6","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C45783"
"1uF","C7","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"LED","D1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"D_Schottky","D2","D_SMA","C2480"
"4.7uH","L1","footprint_for_MWSA0503_HANDSOLD","C408410"
"100k","R1,R5,R2,R8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17407"
"62k","R3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17783"
"470","R4","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17710"
"8k2","R6","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17828"
"56k","R7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17756"
"FP6291","U1","SOT-23-6_Handsoldering","C18701"
"ULN2003A","U2","SOIC-16_3.9x9.9mm_P1.27mm","C7512"
"TPS2553DBVR","U3","SOT-23-6_Handsoldering","C55266"
