Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.133332,10.875000,270.000000,top
C2,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22.350000,9.025000,270.000000,top
C3,220uF,CP_Elec_6.3x7.7,12.775000,17.075000,0.000000,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,17.475000,2.725000,270.000000,top
C5,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,24.575000,9.025000,270.000000,top
C6,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,8.466666,10.875000,270.000000,top
C7,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.050000,8.025000,0.000000,top
C8,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.325000,8.725000,90.000000,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2.700000,9.925000,90.000000,top
D2,D_Schottky,D_SMA,21.375000,15.750000,0.000000,top
L1,4.7uH,footprint_for_MWSA0402,28.725000,18.000000,180.000000,top
R1,100k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,19.850000,2.725000,270.000000,top
R2,100k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.375000,12.400000,0.000000,top
R3,62k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.325000,12.900000,270.000000,top
R4,470,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5.800000,10.875000,270.000000,top
R5,100k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,13.800000,10.875000,270.000000,top
R6,8k2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.650000,6.125000,0.000000,top
R7,56k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,18.650000,8.300000,0.000000,top
R8,100k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22.225000,2.725000,90.000000,top
U1,FP6291,SOT-23-6_Handsoldering,18.300000,11.625000,180.000000,top
U2,ULN2003A,SOIC-16_3.9x9.9mm_P1.27mm,10.625000,4.550000,0.000000,top
U3,TPS2553DBVR,SOT-23-6_Handsoldering,28.000000,12.050000,270.000000,top
